PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
16Fila;ds.seed5838.Palus;86;0;0;86;26
17Ordenacao;ds.seed5838.Palus;47;0;0;47;17
18FPHeapMax;ds.seed5838.Palus;164;0;0;164;30
19FPHeapMin;ds.seed5838.Palus;70;0;0;70;17
20Tabela;ds.seed5838.Palus;1;0;0;1;7
21ArvoreBinaria;ds.seed5838.Palus;2;0;0;2;7
22TabelaHash;ds.seed5838.Palus;94;0;0;94;29
23TabelaHash;ds.seed5838.Palus;86;0;0;86;25
24Grafo;ds.seed5838.Palus;37;0;0;37;78
25Grafo;ds.seed5838.Palus;89;0;0;89;55
26Grafo;ds.seed5838.Palus;47;0;0;47;65
27Grafo;ds.seed5838.Palus;162;0;0;162;86
28BuscaEmLargura;ds.seed5838.Palus;132;0;0;132;112
29Grafo;ds.seed5838.Palus;140;0;0;140;67
30Lista;ds.seed5838.Palus;1;0;0;1;6
31CasamentoExato;ds.seed5838.Palus;313;0;0;313;43
32CasamentoAproximado;ds.seed5838.Palus;328;0;0;328;41
33Identifier;ds.seed5838.Palus;143;0;0;143;29
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed6733.Palus;6;0;0;6;10
02MaxMin;ds.seed6733.Palus;17;0;0;17;10
03MaxMin;ds.seed6733.Palus;33;0;0;33;13
04MaxMin;ds.seed6733.Palus;42;0;0;42;15
05Ordenacao;ds.seed6733.Palus;23;0;0;23;13
06Fibonacci;ds.seed6733.Palus;31;0;0;31;12
07Fibonacci;ds.seed6733.Palus;39;0;0;39;15
08MaxMin;ds.seed6733.Palus;29;0;0;29;13
09Ordenacao;ds.seed6733.Palus;14;0;0;14;13
10AvaliaMultMatrizes;ds.seed6733.Palus;24;0;0;24;12
11ListArray;ds.seed6733.Palus;58;0;0;58;21
12Lista;ds.seed6733.Palus;63;0;0;63;27
13Pilha;ds.seed6733.Palus;91;0;0;91;34
14Pilha;ds.seed6733.Palus;73;0;0;73;23
15Fila;ds.seed6733.Palus;53;0;0;53;18
16Fila;ds.seed6733.Palus;103;0;0;103;28
17Ordenacao;ds.seed6733.Palus;37;0;0;37;23
18FPHeapMax;ds.seed6733.Palus;101;0;0;101;21
19FPHeapMin;ds.seed6733.Palus;91;0;0;91;25
20Tabela;ds.seed6733.Palus;1;0;0;1;7
21ArvoreBinaria;ds.seed6733.Palus;1;0;0;1;7
22TabelaHash;ds.seed6733.Palus;60;0;0;60;22
23TabelaHash;ds.seed6733.Palus;78;0;0;78;28
24Grafo;ds.seed6733.Palus;35;0;0;35;100
25Grafo;ds.seed6733.Palus;79;0;0;79;39
26Grafo;ds.seed6733.Palus;78;0;0;78;52
27Grafo;ds.seed6733.Palus;134;0;0;134;92
28BuscaEmLargura;ds.seed6733.Palus;144;0;0;144;85
29Grafo;ds.seed6733.Palus;123;0;0;123;62
30Lista;ds.seed6733.Palus;1;0;0;1;5
31CasamentoExato;ds.seed6733.Palus;336;0;0;336;62
32CasamentoAproximado;ds.seed6733.Palus;304;0;0;304;36
33Identifier;ds.seed6733.Palus;115;0;0;115;25
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed7992.Palus;6;0;0;6;7
02MaxMin;ds.seed7992.Palus;28;0;0;28;12
03MaxMin;ds.seed7992.Palus;22;0;0;22;10
04MaxMin;ds.seed7992.Palus;35;0;0;35;13
05Ordenacao;ds.seed7992.Palus;23;0;0;23;11
06Fibonacci;ds.seed7992.Palus;33;0;0;33;13
07Fibonacci;ds.seed7992.Palus;13;0;0;13;1475
08MaxMin;ds.seed7992.Palus;19;0;0;19;14
09Ordenacao;ds.seed7992.Palus;20;0;0;20;21
10AvaliaMultMatrizes;ds.seed7992.Palus;21;0;0;21;10
11ListArray;ds.seed7992.Palus;81;0;0;81;27
12Lista;ds.seed7992.Palus;70;0;0;70;24
13Pilha;ds.seed7992.Palus;81;0;0;81;20
14Pilha;ds.seed7992.Palus;57;0;0;57;27
15Fila;ds.seed7992.Palus;67;0;0;67;21
16Fila;ds.seed7992.Palus;62;0;0;62;22
17Ordenacao;ds.seed7992.Palus;24;0;0;24;17
18FPHeapMax;ds.seed7992.Palus;134;0;0;134;30
19FPHeapMin;ds.seed7992.Palus;87;0;0;87;28
20Tabela;ds.seed7992.Palus;1;0;0;1;7
21ArvoreBinaria;ds.seed7992.Palus;1;0;0;1;7
22TabelaHash;ds.seed7992.Palus;138;0;0;138;31
23TabelaHash;ds.seed7992.Palus;69;0;0;69;22
24Grafo;ds.seed7992.Palus;31;0;0;31;85
25Grafo;ds.seed7992.Palus;85;0;0;85;42
26Grafo;ds.seed7992.Palus;111;0;0;111;87
27Grafo;ds.seed7992.Palus;124;0;0;124;58
28BuscaEmLargura;ds.seed7992.Palus;159;0;0;159;87
29Grafo;ds.seed7992.Palus;107;0;0;107;81
30Lista;ds.seed7992.Palus;1;0;0;1;6
31CasamentoExato;ds.seed7992.Palus;331;0;0;331;44
